,Movie,Year of release,Genre,Directed by,Starring,Synopsis,Box Office Gross in Million Dollars,Duration in minutes,IMDB User Rating,Metascore from Metacritic
89,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"['Action, Adventure, Fantasy']",Gore Verbinski ,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley","['Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor\'s daughter, from Jack\'s former pirate allies, who are now undead.']",305.41,143,8,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""fe9ce039-8971-4891-9c3f-03759f218019"")>"
90,Predator,1987,"['Action, Adventure, Sci-Fi']",John McTiernan ,"Arnold Schwarzenegger, Carl Weathers, Kevin Peter Hall, Elpidia Carrillo",['A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.'],59.74,107,7.8,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""d600d7fe-7311-4139-90d7-63cb7383e6b8"")>"
91,X-Men,2000,"['Action, Adventure, Sci-Fi']",Bryan Singer ,"Patrick Stewart, Hugh Jackman, Ian McKellen, Famke Janssen","['In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.']",157.30,104,7.4,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""3c114928-ff19-47ad-89ea-e2bcb1baa0af"")>"
92,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"['Action, Adventure, Fantasy']",Gore Verbinski ,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley","['Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor\'s daughter, from Jack\'s former pirate allies, who are now undead.']",305.41,143,8,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""cd4fbd58-6039-447c-8d3e-aec9a6109796"")>"
93,The World's End,2013,"['Comedy, Sci-Fi']",Edgar Wright ,"Simon Pegg, Nick Frost, Martin Freeman, Rosamund Pike","[""Five friends who reunite in an attempt to top their epic pub crawl from twenty years earlier unwittingly become humanity's only hope for survival.""]",26.00,109,7,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""02eefed3-d8ab-44e8-b771-d505542f7b42"")>"
94,First Blood,1982,"['Action, Adventure']",Ted Kotcheff ,"Sylvester Stallone, Brian Dennehy, Richard Crenna, Bill McKinney",['A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.'],47.21,93,7.7,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""9058e214-ac5f-401d-a2f2-47dde66ee5e5"")>"
95,Speed,1994,"['Action, Adventure, Thriller']",Jan de Bont ,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton",['A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above 50 mph.'],121.25,116,7.2,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""2683d898-dba3-41e9-8d82-63658e096dd7"")>"
96,The Rock,1996,"['Action, Adventure, Thriller']",Michael Bay ,"Sean Connery, Nicolas Cage, Ed Harris, John Spencer","['A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.']",134.07,136,7.4,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""3295d744-cfc5-4b86-9304-f894cfd0a474"")>"
97,The Hunger Games,2012,"['Action, Adventure, Sci-Fi']",Gary Ross ,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Stanley Tucci","[""Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.""]",408.01,142,7.2,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""40d28af4-6fb5-49b6-b156-a26064745f53"")>"
98,"I, Robot",2004,"['Action, Drama, Sci-Fi']",Alex Proyas ,"Will Smith, Bridget Moynahan, Bruce Greenwood, Alan Tudyk","['In 2035, a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity.']",144.80,115,7.1,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""6c680d0f-4681-41a2-9109-278749f7799a"")>"
99,Prince of Persia: The Sands of Time,2010,"['Action, Adventure, Fantasy']",Mike Newell ,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina",['A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.'],90.76,116,6.6,"<selenium.webdriver.remote.webelement.WebElement (session=""de1f81eaf04bb455fec8fd4b2a88412a"", element=""2899ba94-0754-40e9-99ff-fb038d63e91a"")>"
